Product_id,Review,Review_rating
31, Must buy, 5.0 out of 5 stars
31, Durable, 4.0 out of 5 stars
31, Product r not original air, 2.0 out of 5 stars
31, Shoes reviews, 3.0 out of 5 stars
31, Value for money, 3.0 out of 5 stars
31, Light and strong, 4.0 out of 5 stars
31, good, 2.0 out of 5 stars
32,Comfy !!!,5.0 out of 5 stars
33,Very bad,1.0 out of 5 stars
33, Gd, 5.0 out of 5 stars
33, Good Shoes, 5.0 out of 5 stars
33, Quality not as expected, 2.0 out of 5 stars
33, GOOD PRODUCT, 5.0 out of 5 stars
33, Nice product, 4.0 out of 5 stars
33, Quality not as expected, 2.0 out of 5 stars
33, Okay.... But not value for money 😔😑, 3.0 out of 5 stars
33, This is, 4.0 out of 5 stars
33, Bad quality, 1.0 out of 5 stars
34,Average.,3.0 out of 5 stars
34, Nice shoes.. Good build quality.., 5.0 out of 5 stars
35,Waste of money,1.0 out of 5 stars
35, Product is so so., 4.0 out of 5 stars
35, Comfortable and Adorable, 5.0 out of 5 stars
35, Wrost quility, 1.0 out of 5 stars
35, Average as per price Finishing not good, 3.0 out of 5 stars
35, Kraasa shoes for rough use, 3.0 out of 5 stars
35, Superb, 5.0 out of 5 stars
35, It could have been better...overall good..., 4.0 out of 5 stars
35, Bad quality sole, 2.0 out of 5 stars
35, Sole Quality - Very Bad - Damaged in 3 Months., 1.0 out of 5 stars
36,Hardly 1 month lasts. Poor performance,1.0 out of 5 stars
36, Awesome product!, 4.0 out of 5 stars
36, Very good product as a price and size to fit or mattel quality also good, 5.0 out of 5 stars
36, Can buy this item as per price, 3.0 out of 5 stars
36, Awesome, 5.0 out of 5 stars
36, Low price and good quality, 4.0 out of 5 stars
36, Suppar, 5.0 out of 5 stars
36, Good, 3.0 out of 5 stars
36, Okh product, 4.0 out of 5 stars
36, Honest Review 💪, 5.0 out of 5 stars
37,Shoe quality,4.0 out of 5 stars
38,Avg Looking.. Avg Quality,4.0 out of 5 stars
38, Excellent, 5.0 out of 5 stars
38, Quality product, 4.0 out of 5 stars
38, Nice products, 3.0 out of 5 stars
38, Quality of product is very bad if it possible I want to return it and return my money back, 1.0 out of 5 stars
38, True reviews of these shows  should you buy it or not !!, 4.0 out of 5 stars
38, good shoes with comfort support, 3.0 out of 5 stars
38, GREAT Product, 5.0 out of 5 stars
38, Box is open, 1.0 out of 5 stars
38, Good product - Stylelure Men's Black Formal Shoes, 5.0 out of 5 stars
39,Good,4.0 out of 5 stars
39, Worth my money, 5.0 out of 5 stars
39, Disappointed, 3.0 out of 5 stars
39, One Star, 1.0 out of 5 stars
39, Good product, 4.0 out of 5 stars
39, Very low quality., 1.0 out of 5 stars
39, Bad, 2.0 out of 5 stars
39, Too bad is the souel., 1.0 out of 5 stars
39, Wrong information provided by the seller, 1.0 out of 5 stars
39, Very comfy, 5.0 out of 5 stars
40,Way more better than so called brand. Definately go for it,5.0 out of 5 stars
40, worst ever product, 1.0 out of 5 stars
40, if you go for cheap then you will end with 100% money lost., 1.0 out of 5 stars
40, Shoes are really good and comfortable, 5.0 out of 5 stars
40, Softness., 4.0 out of 5 stars
40, Even in brands like nike puma, 5.0 out of 5 stars
40, Quality is bad, 1.0 out of 5 stars
40, Very average product. May be just ok.ok at the price, 3.0 out of 5 stars
40, Quality as per price, 5.0 out of 5 stars
40, Comfortable and light weight shoes, 5.0 out of 5 stars
41,Worth the money. Order one size up,4.0 out of 5 stars
41, Good, 3.0 out of 5 stars
42,Not at worth to buy,1.0 out of 5 stars
42, Not as expected, 1.0 out of 5 stars
42, Cheap quality, 1.0 out of 5 stars
42, Worse, 1.0 out of 5 stars
42, Wroth, 4.0 out of 5 stars
42, Left foot 🦶 size didn't matched with the right foot., 1.0 out of 5 stars
42, Good product, 4.0 out of 5 stars
42, Review of the product, 4.0 out of 5 stars
42, Simple safe, 5.0 out of 5 stars
42, Completely different colour and size, 3.0 out of 5 stars
43,Quality of the product is very low,2.0 out of 5 stars
43, Vest of money, 1.0 out of 5 stars
43, Unsatisfied, 1.0 out of 5 stars
43, Wastes of time and money so please improve your quality, 1.0 out of 5 stars
43, There is spot, 1.0 out of 5 stars
43, Shoes is not fit., 1.0 out of 5 stars
43, Bad product, 1.0 out of 5 stars
43, It is very bad, 1.0 out of 5 stars
43, Plz give the better quality I want Chang this shose, 1.0 out of 5 stars
43, Change the size, 1.0 out of 5 stars
44,Size issue and tight when used with socks.,4.0 out of 5 stars
44, Amazing for it's price, 5.0 out of 5 stars
44, Good go for it..., 4.0 out of 5 stars
44, Not even 1⭐, 1.0 out of 5 stars
44, Great comfortable office shoe., 5.0 out of 5 stars
44, Fraud seller, 4.0 out of 5 stars
44, Good Rubber Shoes to use in Rain, 5.0 out of 5 stars
44, Excellent at this price range, 5.0 out of 5 stars
44, Excellent product, 4.0 out of 5 stars
44, Wonderful And Excellent Shoes 👌👌👌👍👍👍, 5.0 out of 5 stars
45,Good for smooth users and not gud for rough users,4.0 out of 5 stars
45, Outstanding products, 5.0 out of 5 stars
45, Nice shoes., 4.0 out of 5 stars
45, 5*, 5.0 out of 5 stars
45, Value for Money, 4.0 out of 5 stars
45, Nice, 4.0 out of 5 stars
45, Not good, 2.0 out of 5 stars
45, Sole, 2.0 out of 5 stars
45, Waste product., 1.0 out of 5 stars
45, Do not buy weastage of money., 2.0 out of 5 stars
46,Beautiful shoes ❤️,5.0 out of 5 stars
46, Very Good product. But logo has comeout within 3 months., 4.0 out of 5 stars
46, Worth for the money spent., 4.0 out of 5 stars
46, Best Quality as Expected from Bata, 5.0 out of 5 stars
46, Shoe for walkers, 5.0 out of 5 stars
46, Fit, 5.0 out of 5 stars
46, Size is good, 3.0 out of 5 stars
46, Cushion is very very poor. Uncomfortable, 1.0 out of 5 stars
46, Price, 1.0 out of 5 stars
46, Very much disappointed 😞, 1.0 out of 5 stars
47,Very good product,5.0 out of 5 stars
47, Good, 5.0 out of 5 stars
47, Value for Money, 5.0 out of 5 stars
47, Okay product with a fundamental flaw !!, 3.0 out of 5 stars
47, Economical shoes for walking gym NOT running or jumping.recommended, 3.0 out of 5 stars
47, Don't trust the size of what they write on their page., 1.0 out of 5 stars
47, Not worth for money, 2.0 out of 5 stars
47, Okay product but runs small for size, 3.0 out of 5 stars
47, For improvement in size and quality, 1.0 out of 5 stars
47, Its good., 4.0 out of 5 stars
48,Got a different brand,3.0 out of 5 stars
48, Pls give me my order, 1.0 out of 5 stars
48, Value for money 💰., 5.0 out of 5 stars
48, Amazon Should change name of product from sparx to relaxo, 5.0 out of 5 stars
48, Go for it, 5.0 out of 5 stars
48, Wear them without caring about world but your feet, 5.0 out of 5 stars
48, Great and compatible shoes must buy, 4.0 out of 5 stars
48, Nice 👌👌👌, 5.0 out of 5 stars
48, Different brand delivered but value for money., 1.0 out of 5 stars
48, Good product thanks Amazon 👌, 5.0 out of 5 stars
49,Go for it,4.0 out of 5 stars
49, Awesome, 3.0 out of 5 stars
49, Washable shoes at reasonable price, 4.0 out of 5 stars
49, Fine product @ a reasonable rate, 4.0 out of 5 stars
49, Good looking shoe at low price., 4.0 out of 5 stars
49, Very Thin Sole, 2.0 out of 5 stars
49, Smart & Economical, 4.0 out of 5 stars
49, Beautiful looks very durable attractive price, 5.0 out of 5 stars
49, the Sole is too thin., 1.0 out of 5 stars
49, awesome product, 5.0 out of 5 stars
50,Not very comfortable the bottom is hard.,3.0 out of 5 stars
50, Dipesh katara, 4.0 out of 5 stars
51,nice product,5.0 out of 5 stars
51, Don't order at all, 1.0 out of 5 stars
51, Not good, 1.0 out of 5 stars
51, Good, 4.0 out of 5 stars
52,सुझाव,2.0 out of 5 stars
52, Different model they have sent, 1.0 out of 5 stars
52, Size, 5.0 out of 5 stars
52, Very good product and design, 4.0 out of 5 stars
52, Satisfied, 4.0 out of 5 stars
52, Perfect perfect perfect., 5.0 out of 5 stars
52, Nice Product, 4.0 out of 5 stars
52, worst product, 1.0 out of 5 stars
52, Good, 2.0 out of 5 stars
52, Very good, 5.0 out of 5 stars
53,Problem,1.0 out of 5 stars
53, insole pads are just the worst. neither size or shape., 3.0 out of 5 stars
53, Not bad, 1.0 out of 5 stars
53, Please exchange shoe required no, 1.0 out of 5 stars
53, Poor quality and different shoes deliverd, 1.0 out of 5 stars
53, Don't Buy, 2.0 out of 5 stars
53, Nice product but in cheap price, 4.0 out of 5 stars
53, First shoes is same but second shoes is different type but better 👍, 3.0 out of 5 stars
53, nice, 5.0 out of 5 stars
53, It's good, 4.0 out of 5 stars
54,A genuine review.. Not worth buying..,1.0 out of 5 stars
54, Light weight comfortable and stylish, 5.0 out of 5 stars
54, Quality assured product, 5.0 out of 5 stars
54, Horrible 10 day shoe., 1.0 out of 5 stars
54, Wow product 🤩, 4.0 out of 5 stars
54, Awesome product., 5.0 out of 5 stars
54, Bang on Bucks, 4.0 out of 5 stars
54, Comfy light weight Nice pair of shoes...., 4.0 out of 5 stars
54, Value for Money, 5.0 out of 5 stars
54, Everything is wrong, 1.0 out of 5 stars
55,Poor quality,1.0 out of 5 stars
56,Awesome purchase,5.0 out of 5 stars
56, Good in looks but little hard from inside, 4.0 out of 5 stars
56, Good product, 4.0 out of 5 stars
56, Supper, 5.0 out of 5 stars
56, Good, 5.0 out of 5 stars
57,DO NOT BUY!,1.0 out of 5 stars
57, Excellent pair of sleepers received from the supplier., 5.0 out of 5 stars
57, Cheap and best, 5.0 out of 5 stars
57, Top quality best price far better than other brand, 5.0 out of 5 stars
57, Quality and Durability, 5.0 out of 5 stars
57, Great chappals, 5.0 out of 5 stars
57, Relaxo Men's house slipper, 2.0 out of 5 stars
57, Value for the money. But pain in the foot, 3.0 out of 5 stars
57, Accupressure anyone?, 3.0 out of 5 stars
57, Received a bag instead of slippers., 1.0 out of 5 stars
58,Cheap quality,1.0 out of 5 stars
58, good very nyc👌👌, 4.0 out of 5 stars
58, Order extra size, 4.0 out of 5 stars
58, Worst Quality of Shoes, 1.0 out of 5 stars
58, Bad and not upto mark, 1.0 out of 5 stars
58, money waste product hai, 1.0 out of 5 stars
58, Nice one., 5.0 out of 5 stars
58, Dont buy this product local quality, 1.0 out of 5 stars
58, Change, 1.0 out of 5 stars
58, Quality, 1.0 out of 5 stars
59,worth,5.0 out of 5 stars
59, Very good item, 4.0 out of 5 stars
59, Very very good product, 5.0 out of 5 stars
60,Best for casual wear,5.0 out of 5 stars
60, Value for money, 4.0 out of 5 stars
60, Size 7uk, 5.0 out of 5 stars
60, Good Product ! Go for it, 5.0 out of 5 stars
60, Product is too bad totaly wastage of money, 1.0 out of 5 stars
60, This boot is very nice, 3.0 out of 5 stars
60, Not good, 2.0 out of 5 stars
60, Sorry, 1.0 out of 5 stars
60, Please don't by......., 1.0 out of 5 stars
60, Nothing, 2.0 out of 5 stars
61,Totally worthy product. I loved it.,5.0 out of 5 stars
61, Very comfortable to use, 5.0 out of 5 stars
61, Go for it., 5.0 out of 5 stars
61, Best for me, 5.0 out of 5 stars
61, Delightful, 5.0 out of 5 stars
61, Nice fit, 5.0 out of 5 stars
61, Poor quality, 1.0 out of 5 stars
61, Amazing shoes, 5.0 out of 5 stars
61, Amazing experience, 5.0 out of 5 stars
61, Comfortable shoes, 5.0 out of 5 stars
62,Quality not as good as in pictures,3.0 out of 5 stars
62, Don't buy, 1.0 out of 5 stars
62, 3rd Time Replacement Without BOX Packing... But Condition Is Good., 5.0 out of 5 stars
62, Really good for a Rainy day.., 5.0 out of 5 stars
62, worth to buy it, 4.0 out of 5 stars
62, Ok ok, 4.0 out of 5 stars
62, Overall good, 1.0 out of 5 stars
62, Worth Buying!, 4.0 out of 5 stars
62, Best quality with best price.., 5.0 out of 5 stars
62, Sorry, 5.0 out of 5 stars
63,Amazing!,4.0 out of 5 stars
63, low product, 1.0 out of 5 stars
63, Service is not good, 1.0 out of 5 stars
63, LOOK VERY AWESOME SHOES FIT AS EXPECTED, 5.0 out of 5 stars
63, Not comfortable, 2.0 out of 5 stars
63, Shoes Display is different from which i Got, 3.0 out of 5 stars
63, Mostly of you can afford more than the price of this shoe go for others, 2.0 out of 5 stars
63, Waste of money., 1.0 out of 5 stars
63, Good, 5.0 out of 5 stars
63, Good and colour is as per the pic, 5.0 out of 5 stars
64,Expensive!,4.0 out of 5 stars
64, Dreadful experience, 1.0 out of 5 stars
64, Unbelievably great!, 5.0 out of 5 stars
64, As expected good quality and petent is shinning, 5.0 out of 5 stars
64, Not good as expected !, 2.0 out of 5 stars
64, Good looking, 5.0 out of 5 stars
64, Good, 4.0 out of 5 stars
64, Good as expected, 4.0 out of 5 stars
64, Perfect for Party wear, 5.0 out of 5 stars
64, 5star, 5.0 out of 5 stars
65,Left leg shoes is perfect but the another one is small,1.0 out of 5 stars
65, Stylish look good material in 400rs, 4.0 out of 5 stars
65, Nice to fit, 5.0 out of 5 stars
66,Defective Item,1.0 out of 5 stars
66, The product is a must for people with cast., 4.0 out of 5 stars
66, ... known brand in this filed but I had a bad experience by buying from Amazon, 1.0 out of 5 stars
66, Good to go, 4.0 out of 5 stars
66, Great Product if you have cast for long time ( 15 days or greater ), 5.0 out of 5 stars
66, Refund still not processed, 1.0 out of 5 stars
66, Flexible your exchage policy atleast for this product., 1.0 out of 5 stars
66, Great support for your injured leg in cast, 5.0 out of 5 stars
66, Ok, 5.0 out of 5 stars
66, Worth buying!, 4.0 out of 5 stars
67,Defective product in second time as well,1.0 out of 5 stars
67, Good, 5.0 out of 5 stars
68,Very comfortable stylish and light shoes at an affordable price,5.0 out of 5 stars
68, Not now, 2.0 out of 5 stars
68, Recommended, 5.0 out of 5 stars
68, Very good product, 5.0 out of 5 stars
68, Value for money, 5.0 out of 5 stars
68, Overall it's OK, 3.0 out of 5 stars
68, Good, 5.0 out of 5 stars
68, Vary comfortable, 4.0 out of 5 stars
68, Good, 4.0 out of 5 stars
68, Poor quality, 3.0 out of 5 stars
69,EASY & COMFORTABLE,5.0 out of 5 stars
69, good, 4.0 out of 5 stars
69, Not durable. Bad purchase, 1.0 out of 5 stars
69, Bad experience., 2.0 out of 5 stars
